"state","events","area","region"
"Alabama",335,51609,"South"
"Arizona",24,113909,"West"
"Arkansas",283,53104,"South"
"California",8,158693,"West"
"Colorado",140,104247,"West"
"Connecticut",15,5009,"Northeast"
"Delaware",4,2057,"South"
"Florida",122,58560,"South"
"Georgia",250,58876,"South"
"Hawaii",1,6450,"West"
"Idaho",15,83557,"West"
"Illinois",145,56400,"North Central"
"Indiana",213,36291,"North Central"
"Iowa",241,56290,"North Central"
"Kansas",415,82264,"North Central"
"Kentucky",144,40395,"South"
"Louisiana",301,48523,"South"
"Maine",27,33215,"Northeast"
"Maryland",24,10577,"South"
"Massachusetts",29,8257,"Northeast"
"Michigan",203,58216,"North Central"
"Minnesota",274,84068,"North Central"
"Mississippi",228,47716,"South"
"Missouri",254,69686,"North Central"
"Montana",32,147138,"West"
"Nebraska",321,77227,"North Central"
"Nevada",12,110540,"West"
"New Hampshire",7,9304,"Northeast"
"New Jersey",42,7836,"Northeast"
"New Mexico",21,121666,"West"
"New York",137,49576,"Northeast"
"North Carolina",489,52586,"South"
"North Dakota",127,70665,"North Central"
"Ohio",245,41222,"North Central"
"Oklahoma",736,69919,"South"
"Oregon",2,96981,"West"
"Pennsylvania",258,45333,"Northeast"
"Rhode Island",1,1214,"Northeast"
"South Carolina",194,31055,"South"
"South Dakota",283,77047,"North Central"
"Tennessee",176,42244,"South"
"Texas",886,267339,"South"
"Utah",33,84916,"West"
"Vermont",4,9609,"Northeast"
"Virginia",51,40815,"South"
"Washington",6,68192,"West"
"West Virginia",11,24181,"South"
"Wisconsin",177,56154,"North Central"
"Wyoming",31,97914,"West"
